ERPNext Item Group,Parent Item Group,Is Group,Exported Direct Items,Enabled Direct Items,Disabled Direct Items,Review Status,Matrix Row,Solution Line,Category,Dealers Max Discount %,Traders Max Discount %,Technicians Max Discount %,NGOs / Parastatals Max Discount %,Corporates Max Discount %,End Users / Retail Max Discount %,Notes,Item Name Examples
Wt-Pressure Tanks,Wt-Parts,1,8,8,0,Accepted,8,Water Pumping,Parts,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,5 way pipe 80mm Length 440mm for pressure tank | Leo pressure tank 50L | Leo pressure tank 24L | Pressure  Tank 60 Litres
Wt-Project Consumable,All Item Groups,1,29,28,1,Accepted,33,Shared Piping / Hardware,Consumables,25.0,20.0,18.0,17.1,17.1,15.39,Accepted by user: use proposed Item Group mapping for all items in this group.,"Modular Timing Relay | Flat Bar 4mx3mm | CX 500 Filter | Manfold 2 1/2"""
Wt-Pu Fittings,Wt-Fittings And Accessories,0,111,111,0,Accepted,29,Shared Piping / Hardware,"Fittings & Accessories (PVC,PPR,HDPE,GI)",25.0,20.0,18.0,17.1,17.1,15.39,Accepted by user: use proposed Item Group mapping for all items in this group.,Male elbow 3/8x10mm | Elbow 6mm *1/16 | Tee 16mm | PU conn 8mm*3/8 female
Wt-Pump Accessories,Wt-Parts,1,0,0,0,Accepted,8,Water Pumping,Parts,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,
Wt-Pumps,Equipments,1,2,2,0,Accepted,7,Water Pumping,Equipment,40.0,32.0,28.8,27.36,27.36,24.624,Accepted by user: use proposed Item Group mapping for all items in this group.,Pump | Electric High Pressure Washer 4kw
Wt-Pure Water,WT- CONSUMABLE,0,0,0,0,Accepted,10,Water Treatment,Equipment,50.0,40.0,36.0,34.2,34.2,30.78,Accepted by user: use proposed Item Group mapping for all items in this group.,
WT-PURE WATER PLANT,WT- CONSUMABLE,0,0,0,0,Accepted,10,Water Treatment,Equipment,50.0,40.0,36.0,34.2,34.2,30.78,Accepted by user: use proposed Item Group mapping for all items in this group.,
Wt-Pvc Fittings And Pipes,Wt-Fittings And Accessories,1,0,0,0,Accepted,29,Shared Piping / Hardware,"Fittings & Accessories (PVC,PPR,HDPE,GI)",25.0,20.0,18.0,17.1,17.1,15.39,Accepted by user: use proposed Item Group mapping for all items in this group.,
Wt-Ro Machines,Equipments,1,0,0,0,Accepted,10,Water Treatment,Equipment,50.0,40.0,36.0,34.2,34.2,30.78,Accepted by user: use proposed Item Group mapping for all items in this group.,
WT-RO UNIT,WATER TREATMENT,0,0,0,0,Accepted,10,Water Treatment,Equipment,50.0,40.0,36.0,34.2,34.2,30.78,Accepted by user: use proposed Item Group mapping for all items in this group.,
Wt-Smart Water Meters,Wt-Water Meters,0,5,5,0,Accepted,24,Specialized Industrial Products,Equipment,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,Smart Ultrasonic Meter DN 20 | Smart meter DN15 Mechanical | Smart Ultrasonic Meter DN65 | Smart Mech Meter DN 20
Wt-Softener Unit,Wt-Solutions,1,0,0,0,Accepted,10,Water Treatment,Equipment,50.0,40.0,36.0,34.2,34.2,30.78,Accepted by user: use proposed Item Group mapping for all items in this group.,
Wt-Solar Items,Wt-Parts,1,0,0,0,Accepted,22,Solar Equipment,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,
Wt-Solenoids,Wt-Parts,1,0,0,0,Accepted,32,Share Electricals& Cables,Controls & Electricals,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,
Wt-Uf Units,All Item Groups,0,1,1,0,Accepted,10,Water Treatment,Equipment,50.0,40.0,36.0,34.2,34.2,30.78,Accepted by user: use proposed Item Group mapping for all items in this group.,"UF Demo Kit 20"" SS"
Wt-Water Meters,Equipments,1,0,0,0,Accepted,24,Specialized Industrial Products,Equipment,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,
WTE -Parts,WATER TREATMENT,0,0,0,0,Accepted,12,Water Treatment,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,
